setning	einkunn	atkvæði
Forseti ásamt ríkistjórninni fara með framkvæmdarvaldið.	2.0	1
Forsetinn skipar forsætisráðherrann og ríkisstjórnina.	8.0	1
Frá 945 hafði hann jafnframt verið allsherjargoði.	7.0	2
Fram keppti í Evrópukeppni meistaraliða og komst í 2. umferð.	5.0	1
Framstúlkur sigruðu í bikarkeppninni eftir úrslitaleik gegn ÍR.	7.5	2
Framtíð þjóðarinnar er að veði.	8.0	1
Frá og með mars 2011 hefur Apple selt yfir 60 milljónir tæki.	5.0	1
Frásögn þessi er ekki staðfest af neinum samtímaheimildum.	5.0	3
Frá þessu er greint á vef the Washington Post.	8.5	2
Frétt birtist þess efnis birtist á heimasíðu þess í dag.	1.0	1
Funduðu ráðherrar beggja flokka hvort í sínu lagi á föstudag.	3.5	2
Fyrirtækið fékk lóðinni úthlutaðri um þremur vikum síðar.	2.5	2
Fyrir utan það að önnur framtönnin virðist vera brotinn.	4.33	3
Fyrir þá sem ekki vita hver er Savickas?	5.0	2
Fyrri hálfleikur var stjórnað af KR.	0.0	1
Fyrsta hlutverk Steen í sjónvarpi var árið 1983 í Hangin'In.	8.33	3
Fyrsta húsið sem Aalto teiknaði var byggt hér.	10.0	1
Fyrsta kvikmyndahlutverk Atkinson var árið 1993 í Free Willy.	6.67	3
Fyrsta kvikmyndahlutverk Danson er í The Onion Field frá 1979.	2.5	2
Fyrsta kvikmyndahlutverk Day var árið 2001 í Strings.	4.0	2
Fyrsta kvikmynd Pixar kom út 1995 og var dreift af Disney.	5.0	1
Fyrsta plata hennar,, kom út 1996.	1.0	1
Fyrsta sjónvarpshlutverk Janney var árið 1991 í Morton & Hayes.	5.0	1
Fyrsti kaflinn er Allegro-kafli í Sónötuformi.	5.67	3
Fyrst í Sapporo árið 1972 og svo í Nagano árið 1998.	9.5	2
Gengur vel stæðri manneskju vel dags daglega?	9.0	2
Genk on Stage er heiti á útitónlistarhátíð í Genk.	7.0	2
Gera allt sem manni langar til.	5.0	2
Gerir Dóri þetta til að líkjast hasarmyndahetjunniThe Rock.	2.0	1
Gert var að sárum hans á Slysadeild.	6.0	1
Gestirnir í vandræðum með sóknarleikinn sinn.	4.0	1
Geta keypt sér ótal margt sem að manni langar í.	1.67	3
Geyminn er hægt að hlaða 280 sinnum	4.5	2
Gínea-Bissá er land í Vestur-Afríku.	3.0	1
Gjaldmiðillinn, lilangeni, er festur við suðurafríska randið.	5.0	1
Glæsileg sókn og Keflvíkingar voru með 1 0 forystu í hálfleik.	3.0	2
Glanni er leikinn af Stefáni Karli Stefánssyni.	10.0	1
Gólfið fór að nötra og rauður eldur kveiknar og brennir mig.	5.0	1
Gosið sést ekki á vefmyndavélum þar sem ský birgja sýn.	7.0	1
Green Day gaf út plötu þríleik á árunum 2012 og 2013.	1.0	1
Guð skapar mennina, Guð skapar líka homma og lespíur.	3.33	3
Hæðinn upp að þaksperrunni eru 36 metrar.	0.0	1
Hægt er að skoða hönnun Tinnu á heimasíðunni tiaber. com	5.0	1
Hæsti tindur Gíneu er Nimbafjall 1.752 metra yfir sjávarmáli.	4.33	3
Hæun fer fram á því tungumáli sem er talað á hverjum stað.	2.0	1
Halla er góður stjórnandi með lélega hæfileika í samskiptum.	5.0	1
Hamingjan er ekki fólgin í penginum eða eignum.	7.5	2
Handhrærið trönuberin, appelsínubörkin og saltið saman við.	3.67	3
Hann átti tvö ár eftir af samningi sínum við Barca.	9.0	1
Hann dregur djúpt andann og hleypur loftinu hægt út.	9.0	1
Hann ekur næstum á Ari og Uzi en Royal bjargaði þeim tímanlega.	5.5	2
Hann er ætlar að kaupa bjór.	0.0	2
Hann er hellst við botninn eða miðsvæðis í sjónum.	4.0	3
Hann er hinsvegar ekki mótfallinn því að selja leikmanninn.	7.0	1
Hann fékk hjartaáfall á laugardag og náði aldrei að jafna sig.	5.0	1
Hann fór úr axlarlið og var borinn af velli.	10.0	1
Hann gaf það upp á bátinn og fór út í viðskipti.	5.0	2
Hann grátbað þjóðina afsökunar á hörmulegri framistöðu liðsins.	5.0	3
Hann hafði staðið hinum meginn við netið nánast stjarfklofa.	5.0	2
Hann hafi fengið lykla að láni og síðan bolað leigjendunum út.	5.5	2
Hann hefur játað fjöldamorðin.	6.25	4
Hann kunni ekki að stjórna því, beisla og nýta sér.	5.0	1
Hann má heldur engann veginn missa af þessu.	5.5	2
Hann öðlaðist bandarískan ríkisborgararétt 1977.	5.0	1
Hann sækir um vinnu útum allt.	6.0	1
Hann segir litla spreybrúsa geta virkað eins og byssukúlur.	5.0	1
Hann segir það alþekkt að menn skrifi söguna á eigin forsendum.	10.0	1
Hann skrifaði undir samning til 31. janúar 2017 í dag.	5.0	1
Hann skrifar Eli bréf sem segir frá ást sinni fyrir Margot.	3.0	3
Hann spilaði á bandalausan Fender Jazz bass.	3.5	2
Hann vann einnig útgefandi og blaðamaður.	5.0	1
Hann var ennfremur dæmdur til að greiða allan sakarkostnað.	10.0	1
Hann var þá 24 ára gamall og næstelztur átta systkina.	5.33	3
Hans er fyrst getið í Píningsdómi árið 1490.	10.0	1
Harðlega orðað hjá mér en satt.	4.0	1
Harmarshöllin var blásin upp í Hveragerði á laugardaginn.	5.0	1
Haukar sigruðu í 2. deild.	5.0	1
Hefur mest vigtast 71 kg og hæðsti aldur skráður 30 ára.	3.0	2
Heilir mataskar hafa ekki varðveist eldri en frá 19. Öld.	5.0	1
Heilt yfir endaði Ísland með 34.618 stig en Rúmenar 35.532.	2.0	1
Heimili og farartæki víðsvegar verða í hættu.	2.0	1
Heimsaflinn hefur verið um þrjú þúsund tonn síðustu ár.	10.0	1
Heitið finnst þó ekki notað í á prenti fyrr en 1828.	6.0	2
Heitið kemur fyrst fyrir í heimildum frá Bandaríkjunum 1716.	5.0	1
Held að ég hafi séð eina stelpuna úr Nylon á tónleikunum.	5.0	1
Held að hann sé fínn peyji.	2.0	2
Helsta stoð Sádí-Arabíska efnahagsins er útflutningur olíu.	4.0	1
Henni vegnaði vel og seldist hún vel.	3.0	2
Hér að neðan má einnig ljá upprunalegri úr útgáfu lagsins eyra.	3.0	1
Hér á landi er markaðshlutdeild stærstu birgjanna í ríkinu há.	4.0	1
Hér er um nýtt mál að ræða sem vonandi næst um góð sátt.	5.0	1
Hér er vefur Skessuhorn	2.0	1
Hérmá sjá umfjöllum Telegraph um málið	3.67	3
Hérna mun verða fjallað um þetta mál frá ýsmum sjónarhornum.	1.0	1
Herstöð er stöð rekin af her og er í eigu hans.	5.0	1
Hér þýðir Bergen því árbakki.	8.0	1
Heyrst hefur að Íslendingar eru þar.	5.0	1
Hillupláss hættir ekki að verða verðmætt þótt ríkið eigi það.	3.0	2
Hinir sem minna geta mega bara eiga sig.	6.0	2
Hinn 45 ára gamli Smith lék með Raiders frá 1990 til 1997.	8.0	1
Hinsvegar er aðsókn í skemmtigarðinn engu minni en venjulega.	8.5	2
Hjarta Bossa Nova stefnunnar er gítarinn.	7.0	2
HK eru með gott lið og spila svipaðan fótbolta og við.	2.0	1
HK sigraði í 3. deild og tók sæti Keflvíkinga í 2. deild.	7.5	2
HK sigraði í suðurriðli en Dalvíkingar í Norðurriðli.	3.0	2
Hliðarnar eru silfurgljáandi. Kviðurinn er silfurgljáandi.	10.0	1
Hljómsveitinn Acid Kings varð til í Kaliforníu á svipuðum tíma.	2.0	2
Hlutafélag um Orkuskólann Reyst var stofnað í febrúar 2008.	5.0	1
Honum er alveg sama þó að fötin hans skítni út.	5.0	1
Hraðaupphlaup eftir sjötta varða skot Arons Rafns, 15 - 9.	4.0	1
Hraði þeirra mældist mest 126 kílómetra á klukkustund.	8.0	2
Hugtakið tyggigúmmítónlist var sett fram af Kasenetz-Katz.	9.0	1
Hugvit okkar mannana getur verið skaðlegt náttúrunni.	3.0	2
Hún á tvær eldri systur, Shönnu og Stephnie.	5.0	1
Hún er fremur langvaxin rauðbrún á framhlið og hvít á bakhlið.	2.5	2
Hún er samin af Eiríki Laxdal Eiríkssyni ( 1743 – 1816 ).	5.0	2
Hún heitir Herzogenbusch á þýsku og Bois-le-Duc á frönsku.	7.0	1
Hún hluat 41,4% atkvæða en Neves 33,7%.	2.5	2
Hún náðu 13. sæti af 25, með 42 stig.	5.0	1
Hún sagðist alltaf hafa verið hrædd um börnin sín.	7.5	2
Hún segir söngleikinn í uppáhaldi.	6.33	3
Hún vann Grammy-verðlaun fyrir titillag plötunnar, Blown Away.	6.17	6
Hún var fyrsta konan til að verða forseti í Brasilíu.	2.0	1
Hún var systir Ursula Moray Williams, teiknara og rithöfundar.	5.0	1
Húsið er 170 fermetrar. Húsið er byggt árið 1968.	8.0	1
Húsið er 259 fermetrar. Var upprunalega fjós reist árið 1850.	2.0	2
Hvaða bresti merkja menn þar?	8.0	1
Hvaða breytingar má búast við á næstu árum eða áratugum?	5.0	1
Hvað ætli maður svo sjái.	2.5	2
Hvað er frétt og hvað ekki	5.0	1
Hvað er Uppáhalds áin / vatnið þitt?	2.5	2
Hverjir eru uppáhalds veiðistaðirnir þínir?	5.0	1
Hvernig eiga þá neytendur að vita hvort grænmetið sé íslenskt?	4.0	1
Hvort maður á að fara til útlanda, að vinna eða læra.	1.0	1
Í Banff er árlega Banff Mountain Film Festival.	4.25	4
Íbúar Maldíveyja eru tæp 400 þúsund.	9.0	1
Íbúar Mozamique eru 21,8 milljónir og fólksfjölgun þar er 1,8%.	0.0	1
Íbúarnir eru mjög ólíkir innbyrðis.	5.0	1
Íbúar voru vaktir og sendir til að ná í vatn.	5.0	1
Í dag er sjötti bekkur nokkurn veginn búin.	5.0	1
Í Davaó býr fjöldi þjóðabrota, bæði innlendir og erlendir.	5.0	1
Í eystri sigdalinum eru grunn og afrennslulaus vötn.	5.0	1
Í fjölda landa þurfa atvinnuökumenn sérstök ökuskírteni.	4.0	1
Í framhaldi af þvi flautar dómari leiksins leikinn af.	4.5	2
Í fyrra voru kannski þrjátíu erlendir gestir.	10.0	1
Í Genk er ein nýtískulegasta Kart-brautin ( Go-Kart ) í Evrópu.	5.0	1
Í heiðni trúðu menn á líf eftir dauðan þ. e. framhaldslíf.	5.0	2
Í heimstyrjöldinni síðari hertóku nasistar borgina.	5.0	2
Í Ísrael er orðin til endalaus hringavitleysa.	9.0	1
Í júlí 2011 kom út í Brasilíu plata með Q 4U, Best of Q 4U.	5.0	1
Í Kenía velur folk sér bústað eftir gæðum náttúrunnar.	6.5	2
Í ljósi þess að ísl er lítið land	5.0	1
Í lok myndbandsins segir böðull IS að Kassig sé næstur.	5.0	1
Í London búa um 8,5 milljónir ( 2013 ).	5.0	1
Í Lúxemborg eru 44 sveitarfélög, en engar eiginlegar borgir.	5.5	2
Í millitíðinni skal Anna, frænka Lilju, sjá um hana.	8.33	3
Í Mozambique eru töluð um 20 tungumál.	7.5	2
Inn í því eru húsaleigubætur.	5.0	1
In The Ghetto er lag sem Elvis Presley samdi og flutti.	6.5	2
Í öðru lagi getur maður ekki fengið peninga nema að vinna.	5.0	1
iPod touch ( stundum kallaður iTouch ) er tónlistarspilari,.	1.0	2
Í rauninni sé það ekkert á við það sem þeir áttu von á.	5.0	1
ÍR-ingar sigruðu í 2. deild og færðust upp í þá fyrstu.	10.0	1
ÍR og Reynir Sandgerði féllu í 3. deild.	5.0	1
Ísland hefur rekið sendiráð í Mósambík frá árinu 2001.	10.0	1
Íslenskir siðir og menning var ekki til í þeirra orðabók.	1.5	2
Í upphafi hét fylkið Oversticht ( eða bara Sticht ).	6.5	2
Íþróttahúsið er sagt vera vagga handboltans hér á landi.	6.8	5
Jafnframt var hafnað kröfu um að maðurinn sætti geðrannsókn.	5.0	1
Jafnvel þótt mörgum þyki miður, þá er maður eigin gæfusmiður.	9.0	1
Já, menn gerðu það virkilega.	10.0	1
Janney lék fréttaritarann og síðan starfsmannstjórann C.	3.0	1
Japanskir íbúar borgarinnar voru þegar orðnir nær 80%.	8.0	1
Já segja má að framhaldsnám sé mjög mikilvægt í dag.	4.0	2
Jazz in Duketown er stærsta jazzhátíð utandyra í Hollandi.	8.0	1
Jókertöurnar voru 1, 3, 5, 4 og 0.	5.0	1
Jón Arnar Magnússon á Íslandsmetið 8 metra slétta.	2.0	1
Jón Árnason, þjóðsagnasafnari, færði söguna í letur.	9.5	2
Jón matreiðir smá fisk og deilir því svo niður á alla 8.	5.0	1
Jón og unnasta hans rífast öðru hvoru.	4.0	1
Jón Valgerði hugnast ekki þessar hugmyndir.	0.0	1
Jú maður sér sjónvarpshandbókina.	5.0	2
Kaldhæðinn og fjarstæður húmor einkennir myndina.	5.5	2
Kannski að breytingarnar verði ekkert svo miklar.	5.0	1
Kári leyfir henni það og spyr hvort að ég og Tinna viljum líka.	5.0	1
Karneval er haldið í Arlon á hverju vori fyrir páska.	2.5	2
Katla er staðsett suðaustan í Mýrdalsjökli.	5.0	1
Kenía varð sjálfstætt ríki 1963.	6.0	1
Kennd við lækinn Rauðará, sem nú rennur í ræsi undir götunni.	10.0	1
Keppt var í 8 liða deild með tvöfaldri umferð.	8.0	1
Keppt var í fimm liða deild og leikin tvöföld umferð.	4.0	3
Kirkjan var vígð árið 1695. Það tók fjórtán ár að byggja hana.	7.25	4
Kjörhitastigið er 25° C – 30° C	9.0	1
Klaufalegt hjá Rajkovic sem hatar ekki skógarferðirnar.	5.0	1
Klausturhaldi var þó breytt aftur til fyrra horfs 1352.	5.0	1
Klóþang var notað til litunar í Færeyjum.	5.5	2
Kolbrún var kjörin fegurðardrottning Reykjavíkur 1950.	5.0	2
Konunglegt brúðkaup er framundan í furstadæminu Mónakó.	7.5	2
Körin séu ávalt stór sama hve mikið magn hann fái af fiski.	3.0	1
KR féll í 2. deild eftir úrslitaleiki við Breiðablik.	5.0	1
Kunna að meta það að eiga fjölskyldu og ástvini.	5.0	1
Kúnstin til þess að finna lífsgleði er flókin.	1.0	1
Kúrdar hafa hins vegar farið fram á aðstoð frá umheiminum.	7.5	2
Kyle vinnur, að sjálfsögðu, og hann og Jan fagna.	5.8	5
Lægsti punktur fylkisins er í 2 metra yfir sjávarmáli.	5.0	1
Lagið vann Steinar með upptöku- og pródúserateyminu StopWaitGo.	7.0	1
Landið er að miklu leyti hálent, en láglent við strendur.	8.33	3
Lando skutlar Kyle að neðstu hæð Skýjaborg í geimskipi sínu.	3.0	2
Landsvæði Bresku Kólumbíu þekur 944,735 km 2.	3.0	2
Laufey ákvað að kýla á það og samdi við Val út tímabilið.	10.0	2
Leiðin úr Eyjafirði er ennþá lokuð.	7.5	2
Leikarar reyna að afla jafn mikilla tekna og auðið er.	5.0	1
Leikmenn andstæðinganna höfðu einum hlut meira að hugsa um.	5.0	1
Leikmenn Kosta Ríka voru ekki undanskildir.	6.5	2
Lék hún á móti Keanu Reeves í sjónvarpsmyndinni frá 1986.	2.0	1
Líða árin og fer að þyngjast róðurinn hjá litla kall.	5.0	1
Liðið hélt samt áfram og reyndi að klóra í bakkann.	5.0	1
Liðið situr á toppi C-riðils með fjögur stig.	9.0	2
Liðið var í riðli með Sovétríkjunum, Danmörk og Spáni.	5.0	1
Lífið inniheldur ótalmargar ólíkar leiðir.	5.0	1
líf okkar á ekki að vera endalaust.	3.0	1
